tweet_id,user_handle,timestamp,tweet_text,candidate,party,retweets,likes,sentiment
1,@user123,2024-11-03 08:45:00,"Excited to see Kamala Harris leading the Democratic charge!",Kamala Harris,Democratic Party,120,450,positive
2,@politicsFan,2024-11-03 09:15:23,"Donald Trump's policies are the best for our economy.",Donald Trump,Republican Party,85,300,positive
3,@greenAdvocate,2024-11-03 10:05:45,"Jill Stein's environmental plans are exactly what we need.",Jill Stein,Green Party,60,200,positive
4,@indieVoice,2024-11-03 11:20:10,"Robert Kennedy offers a fresh perspective outside the two-party system.",Robert Kennedy,Independent,40,150,neutral
5,@libertyLover,2024-11-03 12:35:55,"Chase Oliver's libertarian stance promotes true freedom.",Chase Oliver,Libertarian Party,30,120,positive
6,@user456,2024-11-04 08:50:30,"Kamala Harris has been a strong advocate for healthcare reform.",Kamala Harris,Democratic Party,95,380,positive
7,@econGuru,2024-11-04 09:25:10,"Trump's tax policies will benefit small businesses.",Donald Trump,Republican Party,110,500,positive
8,@ecoWarrior,2024-11-04 10:15:20,"Jill Stein's green initiatives could save our planet.",Jill Stein,Green Party,70,250,positive
9,@neutralNow,2024-11-04 11:45:00,"Robert Kennedy is running as an independent; interesting choice.",Robert Kennedy,Independent,25,100,neutral
10,@freedomFirst,2024-11-04 12:55:35,"Chase Oliver promotes minimal government intervention. Love it!",Chase Oliver,Libertarian Party,50,180,positive
11,@user789,2024-11-05 08:30:15,"Kamala Harris is tackling education issues head-on.",Kamala Harris,Democratic Party,80,320,positive
12,@taxTalk,2024-11-05 09:10:50,"Trump's latest policy could lower taxes for the middle class.",Donald Trump,Republican Party,95,400,positive
13,@sustainability,2024-11-05 10:25:40,"Jill Stein's renewable energy plans are ambitious.",Jill Stein,Green Party,65,220,positive
14,@indepThought,2024-11-05 11:35:25,"Robert Kennedy might disrupt the traditional party dynamics.",Robert Kennedy,Independent,35,130,neutral
15,@libertySeek,2024-11-05 12:45:50,"Chase Oliver's views on personal freedom are refreshing.",Chase Oliver,Libertarian Party,45,160,positive
16,@user321,2024-11-06 08:55:05,"Kamala Harris is making strides in criminal justice reform.",Kamala Harris,Democratic Party,90,350,positive
17,@businessInsider,2024-11-06 09:20:30,"Trump's deregulation efforts are boosting the stock market.",Donald Trump,Republican Party,100,450,positive
18,@greenFuture,2024-11-06 10:40:10,"Jill Stein advocates for sustainable agriculture.",Jill Stein,Green Party,55,190,positive
19,@watchingNow,2024-11-06 11:50:45,"Robert Kennedy's independent run adds more choices for voters.",Robert Kennedy,Independent,30,110,neutral
20,@freeMarket,2024-11-06 12:30:20,"Chase Oliver supports free-market solutions for healthcare.",Chase Oliver,Libertarian Party,40,140,positive
21,@user654,2024-11-07 08:40:00,"Kamala Harris is a strong leader for progressive change.",Kamala Harris,Democratic Party,85,330,positive
22,@policyMaker,2024-11-07 09:30:25,"Trump's stance on immigration is reshaping national policy.",Donald Trump,Republican Party,105,470,negative
23,@ecoSupport,2024-11-07 10:10:35,"Jill Stein's proposals for green jobs are commendable.",Jill Stein,Green Party,60,210,positive
24,@neutralThoughts,2024-11-07 11:25:15,"Robert Kennedy's platform as an independent is unclear.",Robert Kennedy,Independent,20,90,neutral
25,@freedomVoice,2024-11-07 12:15:40,"Chase Oliver emphasizes individual liberties in his campaign.",Chase Oliver,Libertarian Party,35,130,positive
26,@user987,2024-11-08 08:35:20,"Kamala Harris continues to push for affordable housing.",Kamala Harris,Democratic Party,75,290,positive
27,@marketWatch,2024-11-08 09:05:55,"Trump's economic policies are controversial but effective.",Donald Trump,Republican Party,115,480,neutral
28,@greenInitiative,2024-11-08 10:20:50,"Jill Stein is focusing on climate change legislation.",Jill Stein,Green Party,70,230,positive
29,@indieSupport,2024-11-08 11:40:30,"Robert Kennedy offers an alternative to traditional parties.",Robert Kennedy,Independent,28,105,neutral
30,@libertyRights,2024-11-08 12:50:10,"Chase Oliver advocates for gun rights and personal freedom.",Chase Oliver,Libertarian Party,50,170,positive
31,@user159,2024-11-09 08:25:45,"Kamala Harris is addressing income inequality in her speeches.",Kamala Harris,Democratic Party,80,310,positive
32,@taxPolicy,2024-11-09 09:40:20,"Trump's tax cuts are benefiting the wealthy disproportionately.",Donald Trump,Republican Party,90,420,negative
33,@sustainableLiving,2024-11-09 10:30:35,"Jill Stein promotes electric vehicles to reduce emissions.",Jill Stein,Green Party,65,205,positive
34,@independantView,2024-11-09 11:55:00,"Robert Kennedy's policies are a mix of left and right ideologies.",Robert Kennedy,Independent,22,95,neutral
35,@freedomAdvocate,2024-11-09 12:40:25,"Chase Oliver's economic plans prioritize individual choice.",Chase Oliver,Libertarian Party,45,150,positive
36,@user753,2024-11-10 08:50:10,"Kamala Harris is a beacon of hope for many voters.",Kamala Harris,Democratic Party,95,360,positive
37,@econDebate,2024-11-10 09:15:40,"Trump's approach to trade is leading to new international agreements.",Donald Trump,Republican Party,100,440,neutral
38,@greenEnergy,2024-11-10 10:05:25,"Jill Stein's solar energy plans could revolutionize power grids.",Jill Stein,Green Party,75,240,positive
39,@neutralOpinion,2024-11-10 11:35:50,"Robert Kennedy remains neutral on some key issues, causing uncertainty.",Robert Kennedy,Independent,18,85,neutral
40,@libertyMovement,2024-11-10 12:20:15,"Chase Oliver is building a strong base among libertarian voters.",Chase Oliver,Libertarian Party,40,160,positive
41,@user852,2024-11-11 08:45:30,"Kamala Harris's foreign policy plans are ambitious and detailed.",Kamala Harris,Democratic Party,85,325,positive
42,@policyWatch,2024-11-11 09:30:05,"Trump's healthcare policies are sparking nationwide debates.",Donald Trump,Republican Party,110,460,negative
43,@ecoFriendly,2024-11-11 10:15:40,"Jill Stein is advocating for zero-waste cities.",Jill Stein,Green Party,60,215,positive
44,@indepThoughts,2024-11-11 11:25:30,"Robert Kennedy is focusing on bipartisan solutions.",Robert Kennedy,Independent,25,100,neutral
45,@freedomFighter,2024-11-11 12:35:55,"Chase Oliver supports abolishing the IRS for more freedom.",Chase Oliver,Libertarian Party,35,140,positive
46,@user963,2024-11-12 08:20:50,"Kamala Harris's initiatives on climate change are groundbreaking.",Kamala Harris,Democratic Party,90,340,positive
47,@taxReform,2024-11-12 09:10:25,"Trump's latest tax reform favors large corporations.",Donald Trump,Republican Party,95,410,negative
48,@sustainableFuture,2024-11-12 10:45:10,"Jill Stein's policies aim to make cities more sustainable.",Jill Stein,Green Party,70,225,positive
49,@indieChoice,2024-11-12 11:50:35,"Robert Kennedy's independent stance attracts diverse voters.",Robert Kennedy,Independent,30,115,neutral
50,@libertyValues,2024-11-12 12:30:20,"Chase Oliver's commitment to liberty resonates with many.",Chase Oliver,Libertarian Party,50,175,positive
51,@ecoChampion,2024-11-13 08:30:00,"Jill Stein's new recycling program is a game-changer!",Jill Stein,Green Party,65,220,positive
52,@policyPro,2024-11-13 09:15:40,"Kamala Harris is implementing effective education policies.",Kamala Harris,Democratic Party,80,310,positive
53,@marketMover,2024-11-13 10:05:25,"Trump's trade deals are benefiting American industries.",Donald Trump,Republican Party,90,400,positive
54,@indieInsight,2024-11-13 11:45:10,"Robert Kennedy is bridging gaps between different voter groups.",Robert Kennedy,Independent,28,105,neutral
55,@libertyVoice,2024-11-13 12:50:35,"Chase Oliver's stance on free speech is admirable.",Chase Oliver,Libertarian Party,50,170,positive
56,@user111,2024-11-14 08:25:15,"Kamala Harris's healthcare initiatives are saving lives.",Kamala Harris,Democratic Party,85,330,positive
57,@taxWise,2024-11-14 09:40:50,"Trump's tax reforms are attracting business investments.",Donald Trump,Republican Party,95,420,positive
58,@greenVision,2024-11-14 10:30:20,"Jill Stein envisions a greener future with sustainable practices.",Jill Stein,Green Party,70,230,positive
59,@neutralPulse,2024-11-14 11:55:00,"Robert Kennedy maintains a balanced approach to policies.",Robert Kennedy,Independent,22,95,neutral
60,@freedomAdvocacy,2024-11-14 12:40:25,"Chase Oliver champions individual rights and freedoms.",Chase Oliver,Libertarian Party,45,150,positive
61,@user222,2024-11-15 08:50:10,"Kamala Harris is a beacon of hope for many voters.",Kamala Harris,Democratic Party,95,360,positive
62,@econTalk,2024-11-15 09:15:40,"Trump's economic strategies are leading to growth.",Donald Trump,Republican Party,100,440,positive
63,@greenFutureNow,2024-11-15 10:05:25,"Jill Stein's solar projects are reducing carbon footprints.",Jill Stein,Green Party,75,240,positive
64,@indiePerspective,2024-11-15 11:35:50,"Robert Kennedy offers practical solutions outside party lines.",Robert Kennedy,Independent,18,85,neutral
65,@libertyMovement,2024-11-15 12:20:15,"Chase Oliver is building a strong base among libertarian voters.",Chase Oliver,Libertarian Party,40,160,positive
66,@user333,2024-11-16 08:45:30,"Kamala Harris's foreign policy plans are ambitious and detailed.",Kamala Harris,Democratic Party,85,325,positive
67,@policyDebate,2024-11-16 09:30:05,"Trump's healthcare policies are sparking nationwide debates.",Donald Trump,Republican Party,110,460,negative
68,@ecoFriendlyLiving,2024-11-16 10:15:40,"Jill Stein is advocating for zero-waste cities.",Jill Stein,Green Party,60,215,positive
69,@indepThoughts,2024-11-16 11:25:30,"Robert Kennedy is focusing on bipartisan solutions.",Robert Kennedy,Independent,25,100,neutral
70,@freedomFighter,2024-11-16 12:35:55,"Chase Oliver supports abolishing the IRS for more freedom.",Chase Oliver,Libertarian Party,35,140,positive
71,@user444,2024-11-17 08:20:50,"Kamala Harris's initiatives on climate change are groundbreaking.",Kamala Harris,Democratic Party,90,340,positive
